=== SWANPASS REVIEW AUDIT REPORT ===
Date: 2026-03-08T08:39:00.761Z
Total listings: 454

LISTING                                                SOURCE_URL                                                    API_CT  BEFORE   AFTER  STATUS
dna-massage-bangkok                                    https://swanpass.com/listing/dna-massage-bangkok                  69      69      69  PASS
emmanuelle                                             https://swanpass.com/listing/emmanuelle                            1       1       1  PASS
aa-massage-chiang-mai                                  https://swanpass.com/listing/aa-massage-chiang-mai                10      10      10  PASS
ramaix-spa-club                                        https://swanpass.com/listing/ramaix-spa-club                       1       1       1  PASS
oscar                                                  https://swanpass.com/listing/oscar                                14      14      14  PASS
sakura-akasuri                                         https://swanpass.com/listing/sakura-akasuri                       89      89      89  PASS
the-moon-lake-spa                                      https://swanpass.com/listing/the-moon-lake-spa                     1       1       1  PASS
madonna-massage-vip                                    https://swanpass.com/listing/madonna-massage-vip                  13       0      13  PASS
dream-heaven-26                                        https://swanpass.com/listing/dream-heaven-26                       3       3       3  PASS
hera-club                                              https://swanpass.com/listing/hera-club                             0       0       0  PASS
mango-massage                                          https://swanpass.com/listing/mango-massage                        22      22      22  PASS
moulin-rouge                                           https://swanpass.com/listing/moulin-rouge                         89      89      89  PASS
harem-massage-spa                                      https://swanpass.com/listing/harem-massage-spa                    13      13      13  PASS
auroramassage                                          https://swanpass.com/listing/auroramassage                        13      13      13  PASS
helicopter-bar                                         https://swanpass.com/listing/helicopter-bar                       10      10      10  PASS
horny-bar                                              https://swanpass.com/listing/horny-bar                            11      11      11  PASS
thanks-massage                                         https://swanpass.com/listing/thanks-massage                        5       5       5  PASS
orange-bar-bangkok                                     https://swanpass.com/listing/orange-bar-bangkok                   28      28      28  PASS
club-honey                                             https://swanpass.com/listing/club-honey                            0       0       0  PASS
mokaru-massage-spa                                     https://swanpass.com/listing/mokaru-massage-spa                    3       3       3  PASS
allure-house                                           https://swanpass.com/listing/allure-house                          0       0       0  PASS
waterfall-taki-snacks-karaoke-bangkok                  https://swanpass.com/listing/waterfall-taki-snacks-karaoke-bangkok       3       3       3  PASS
palace                                                 https://swanpass.com/listing/palace                                8       8       8  PASS
green-mango                                            https://swanpass.com/listing/green-mango                           3       3       3  PASS
baan-puen                                              https://swanpass.com/listing/baan-puen                             0       0       0  PASS
honey-bee                                              https://swanpass.com/listing/honey-bee                            45      45      45  PASS
tata-massage                                           https://swanpass.com/listing/tata-massage                         54      54      54  PASS
ez-massage                                             https://swanpass.com/listing/ez-massage                            4       4       4  PASS
khunnoo-spa                                            https://swanpass.com/listing/khunnoo-spa                           1       1       1  PASS
vnus-spa                                               https://swanpass.com/listing/vnus-spa                              0       0       0  PASS
the-unique                                             https://swanpass.com/listing/the-unique                            0       0       0  PASS
cherry-massage                                         https://swanpass.com/listing/cherry-massage                       33      33      33  PASS
orbit-spa                                              https://swanpass.com/listing/orbit-spa                             3       3       3  PASS
phoenix-club                                           https://swanpass.com/listing/phoenix-club                         27      27      27  PASS
darin-club                                             https://swanpass.com/listing/darin-club                           29      29      29  PASS
aiei-spa                                               https://swanpass.com/listing/aiei-spa                             14      14      14  PASS
mandarin-a-go-go                                       https://swanpass.com/listing/mandarin-a-go-go                      6       6       6  PASS
melody-spa-284d9442-4508-4300-bfaf-56056c9585dd        https://swanpass.com/listing/melody-spa-284d9442-4508-4300-bfaf-56056c9585dd       5       5       5  PASS
yoshi                                                  https://swanpass.com/listing/yoshi                                 0       0       0  PASS
body-bliss                                             https://swanpass.com/listing/body-bliss                            1       1       1  PASS
tycoon-a-go-go                                         https://swanpass.com/listing/tycoon-a-go-go                        1       1       1  PASS
harem                                                  https://swanpass.com/listing/harem                               142     142     142  PASS
z-through-spa                                          https://swanpass.com/listing/z-through-spa                        26      26      26  PASS
sapphire-club                                          https://swanpass.com/listing/sapphire-club                        65      65      65  PASS
in-love                                                https://swanpass.com/listing/in-love                               0       0       0  PASS
le-ciel-laputa-bkk-f5453c58-d6bc-4626-998a-9c466b698925https://swanpass.com/listing/le-ciel-laputa-bkk-f5453c58-d6bc-4626-998a-9c466b698925       4       4       4  PASS
office-lady                                            https://swanpass.com/listing/office-lady                           0       0       0  PASS
diva-spa                                               https://swanpass.com/listing/diva-spa                              0       0       0  PASS
maximum-massage                                        https://swanpass.com/listing/maximum-massage                       0       0       0  PASS
mikado                                                 https://swanpass.com/listing/mikado                                1       1       1  PASS
the-bachelor-metropole-hotel                           https://swanpass.com/listing/the-bachelor-metropole-hotel         10      10      10  PASS
the-queen-club                                         https://swanpass.com/listing/the-queen-club                       11      11      11  PASS
the-kiss                                               https://swanpass.com/listing/the-kiss                              6       0       6  PASS
ola-ola                                                https://swanpass.com/listing/ola-ola                              56      56      56  PASS
maggie-mays                                            https://swanpass.com/listing/maggie-mays                          78      78      78  PASS
sento-bangkok-bangkok                                  https://swanpass.com/listing/sento-bangkok-bangkok                55      55      55  PASS
geisha                                                 https://swanpass.com/listing/geisha                               55      55      55  PASS
a7-dj-bar                                              https://swanpass.com/listing/a7-dj-bar                           106     106     106  PASS
coffee-cute                                            https://swanpass.com/listing/coffee-cute                           0       0       0  PASS
dream-heaven-33                                        https://swanpass.com/listing/dream-heaven-33                       1       1       1  PASS
red-dragon                                             https://swanpass.com/listing/red-dragon                            6       6       6  PASS
romance8083-bangkok                                    https://swanpass.com/listing/romance8083-bangkok                  31       0      31  PASS
basquiat                                               https://swanpass.com/listing/basquiat                              0       0       0  PASS
rong-nam-cha                                           https://swanpass.com/listing/rong-nam-cha                          1       1       1  PASS
lavender-spa                                           https://swanpass.com/listing/lavender-spa                          0       0       0  PASS
paza                                                   https://swanpass.com/listing/paza                                  5       5       5  PASS
g2g-massage-bangkok                                    https://swanpass.com/listing/g2g-massage-bangkok                  55      55      55  PASS
zab-spa                                                https://swanpass.com/listing/zab-spa                              34      34      34  PASS
bar-three-bangkok                                      https://swanpass.com/listing/bar-three-bangkok                    24       0      24  PASS
pink-baby-a-go-go                                      https://swanpass.com/listing/pink-baby-a-go-go                     4       4       4  PASS
xxx-lounge-patpong                                     https://swanpass.com/listing/xxx-lounge-patpong                   36      36      36  PASS
usb-spa                                                https://swanpass.com/listing/usb-spa                              29       0      29  PASS
nana-plaza                                             https://swanpass.com/listing/nana-plaza                            0       0       0  PASS
black-lotus-massage-bangkok                            https://swanpass.com/listing/black-lotus-massage-bangkok          21      21      21  PASS
moulin-rouge-58db4f65-9f6e-4395-92f0-1ef67fb6d9ef      https://swanpass.com/listing/moulin-rouge-58db4f65-9f6e-4395-92f0-1ef67fb6d9ef     112     112     112  PASS
grand-honey3-pattaya                                   https://swanpass.com/listing/grand-honey3-pattaya                104     104     104  PASS
seven-house-of-angels                                  https://swanpass.com/listing/seven-house-of-angels                41      41      41  PASS
inferno-bar                                            https://swanpass.com/listing/inferno-bar                          14      14      14  PASS
full-moon                                              https://swanpass.com/listing/full-moon                             2       2       2  PASS
bangla-road                                            https://swanpass.com/listing/bangla-road                           0       0       0  PASS
lover-spa                                              https://swanpass.com/listing/lover-spa                            38      38      38  PASS
the-resort                                             https://swanpass.com/listing/the-resort                           49      49      49  PASS
elite-restaurant                                       https://swanpass.com/listing/elite-restaurant                     80      80      80  PASS
lusty-lady-bar                                         https://swanpass.com/listing/lusty-lady-bar                       38      38      38  PASS
dream-girls                                            https://swanpass.com/listing/dream-girls                          11      11      11  PASS
pimp-exclusive-club                                    https://swanpass.com/listing/pimp-exclusive-club                 243     243     243  PASS
honey-1-body-massage-pattaya                           https://swanpass.com/listing/honey-1-body-massage-pattaya         57      57      57  PASS
dolce-spa                                              https://swanpass.com/listing/dolce-spa                             8       8       8  PASS
club-cozmo                                             https://swanpass.com/listing/club-cozmo                            1       1       1  PASS
action-room                                            https://swanpass.com/listing/action-room                           1       1       1  PASS
proud                                                  https://swanpass.com/listing/proud                                 0       0       0  PASS
dollhouse                                              https://swanpass.com/listing/dollhouse                            70      70      70  PASS
funky-spa                                              https://swanpass.com/listing/funky-spa                            37      37      37  PASS
the-colonze                                            https://swanpass.com/listing/the-colonze                           7       7       7  PASS
bada-bing                                              https://swanpass.com/listing/bada-bing                            30      30      30  PASS
kokoro                                                 https://swanpass.com/listing/kokoro                               44      44      44  PASS
paradise                                               https://swanpass.com/listing/paradise                             34      34      34  PASS
princess                                               https://swanpass.com/listing/princess                              0       0       0  PASS
bonita-bangkok                                         https://swanpass.com/listing/bonita-bangkok                        4       0       4  PASS
sabai-dee-body-massage                                 https://swanpass.com/listing/sabai-dee-body-massage              166     166     166  PASS
paa-pretty-premium                                     https://swanpass.com/listing/paa-pretty-premium                    3       3       3  PASS
queen-bangkok                                          https://swanpass.com/listing/queen-bangkok                         0       0       0  PASS
hannah-pretty-spa                                      https://swanpass.com/listing/hannah-pretty-spa                     0       0       0  PASS
toro-nuru-massage-bangkok                              https://swanpass.com/listing/toro-nuru-massage-bangkok            11       0      11  PASS
s-way                                                  https://swanpass.com/listing/s-way                                 0       0       0  PASS
heaven-above                                           https://swanpass.com/listing/heaven-above                        149     149     149  PASS
icha-icha                                              https://swanpass.com/listing/icha-icha                            34      34      34  PASS
climax-massage                                         https://swanpass.com/listing/climax-massage                        4       4       4  PASS
seasaw-spa                                             https://swanpass.com/listing/seasaw-spa                            6       6       6  PASS
meow-love-massage                                      https://swanpass.com/listing/meow-love-massage                     4       0       4  PASS
lala-bangkok                                           https://swanpass.com/listing/lala-bangkok                          8       8       8  PASS
doki-doki                                              https://swanpass.com/listing/doki-doki                            78      78      78  PASS
all-about-touch                                        https://swanpass.com/listing/all-about-touch                     122     122     122  PASS
pretty                                                 https://swanpass.com/listing/pretty                                8       8       8  PASS
black-caviar                                           https://swanpass.com/listing/black-caviar                         21      21      21  PASS
nuanchan-spa                                           https://swanpass.com/listing/nuanchan-spa                          2       2       2  PASS
miss-spa                                               https://swanpass.com/listing/miss-spa                             32      32      32  PASS
lucky                                                  https://swanpass.com/listing/lucky                                 0       0       0  PASS
adore-spa                                              https://swanpass.com/listing/adore-spa                             1       1       1  PASS
april-spa                                              https://swanpass.com/listing/april-spa                             9       9       9  PASS
soi-cowboy                                             https://swanpass.com/listing/soi-cowboy                            4       4       4  PASS
awesome999-bangkok                                     https://swanpass.com/listing/awesome999-bangkok                  113     113     113  PASS
daisy-dream                                            https://swanpass.com/listing/daisy-dream                         163     163     163  PASS
stella-nuru-massage-bangkok                            https://swanpass.com/listing/stella-nuru-massage-bangkok          72       0      72  PASS
jspot-bangkok                                          https://swanpass.com/listing/jspot-bangkok                         1       1       1  PASS
billboard                                              https://swanpass.com/listing/billboard                            74      74      74  PASS
suzy-wongs                                             https://swanpass.com/listing/suzy-wongs                          503     503     503  PASS
classy-massage-bangkok                                 https://swanpass.com/listing/classy-massage-bangkok               41      41      41  PASS
aloha-massage-chiang-mai                               https://swanpass.com/listing/aloha-massage-chiang-mai             76      76      76  PASS
honey2-body-massage                                    https://swanpass.com/listing/honey2-body-massage                 921     921     921  PASS
kawaii-nuru-massage                                    https://swanpass.com/listing/kawaii-nuru-massage                   6       6       6  PASS
aiyume-bangkok-bangkok-2007063c-d834-4099-ac3d-c0b224134161https://swanpass.com/listing/aiyume-bangkok-bangkok-2007063c-d834-4099-ac3d-c0b224134161      35      35      35  PASS
amor888                                                https://swanpass.com/listing/amor888                             258     258     258  PASS
---------------------------------------------------------------------------------------------------------------------------------------------------

=== SUMMARY ===
Total listings audited: 454
PASS: 454
FAIL: 0
Total reviews stored: 18916

All listings PASSED audit.
