=== SWANPASS REVIEW AUDIT REPORT ===
Date: 2026-03-08T08:39:00.761Z
Total listings: 454

LISTING                                                SOURCE_URL                                                    API_CT  BEFORE   AFTER  STATUS
hua-hin-walking-street                                 https://swanpass.com/listing/hua-hin-walking-street              364     364     364  PASS
bkk48                                                  https://swanpass.com/listing/bkk48                                12      12      12  PASS
colonze-massage-entertainment                          https://swanpass.com/listing/colonze-massage-entertainment       103     103     103  PASS
thai-candy-2                                           https://swanpass.com/listing/thai-candy-2                         10      10      10  PASS
pp-body-massage                                        https://swanpass.com/listing/pp-body-massage                     356     356     356  PASS
aya-massage-bangkok                                    https://swanpass.com/listing/aya-massage-bangkok                  31      31      31  PASS
magic                                                  https://swanpass.com/listing/magic                                 0       0       0  PASS
foxy-lady-go-go                                        https://swanpass.com/listing/foxy-lady-go-go                      40      40      40  PASS
christin-massage                                       https://swanpass.com/listing/christin-massage                    127     127     127  PASS
happy-times-bar                                        https://swanpass.com/listing/happy-times-bar                      21      21      21  PASS
lips-lounge                                            https://swanpass.com/listing/lips-lounge                           5       5       5  PASS
relax-room                                             https://swanpass.com/listing/relax-room                            4       4       4  PASS
buzzin-bar                                             https://swanpass.com/listing/buzzin-bar                           66      66      66  PASS
aurora-bangkok                                         https://swanpass.com/listing/aurora-bangkok                       13      13      13  PASS
fruity-spa                                             https://swanpass.com/listing/fruity-spa                           25      25      25  PASS
white-room-spa                                         https://swanpass.com/listing/white-room-spa                        2       2       2  PASS
suzy-wong-s-3                                          https://swanpass.com/listing/suzy-wong-s-3                        48      48      48  PASS
safe-house                                             https://swanpass.com/listing/safe-house                            1       1       1  PASS
villa-massage                                          https://swanpass.com/listing/villa-massage                        10       0      10  PASS
olivia-spa-9f89d02b-383e-4f92-ac81-e0dcd10fed2a        https://swanpass.com/listing/olivia-spa-9f89d02b-383e-4f92-ac81-e0dcd10fed2a     685     685     685  PASS
secret-room                                            https://swanpass.com/listing/secret-room                           3       3       3  PASS
venus-nuru-massage-bangkok                             https://swanpass.com/listing/venus-nuru-massage-bangkok           66      66      66  PASS
pegasus-spa-rama-3                                     https://swanpass.com/listing/pegasus-spa-rama-3                    2       2       2  PASS
dubai-luxury-club                                      https://swanpass.com/listing/dubai-luxury-club                    64      64      64  PASS
angel-33-bangkok                                       https://swanpass.com/listing/angel-33-bangkok                      7       7       7  PASS
barbie-18-bangkok                                      https://swanpass.com/listing/barbie-18-bangkok                    36       0      36  PASS
nightingale-club                                       https://swanpass.com/listing/nightingale-club                      1       1       1  PASS
nuat-kao                                               https://swanpass.com/listing/nuat-kao                              0       0       0  PASS
lola-love-massage-chiang-mai                           https://swanpass.com/listing/lola-love-massage-chiang-mai         77      77      77  PASS
aiyume-bangkok-bangkok                                 https://swanpass.com/listing/aiyume-bangkok-bangkok               40      40      40  PASS
sluts-club                                             https://swanpass.com/listing/sluts-club                            1       1       1  PASS
